Response,Keyword
Hello! How can I assist you?,"Hi,hi,hello,sup,yo"
"Good, thanks.", "How are you?"
Sad to see you go!, goodbye
"Our opening hours are from Monday to Sunday, 10am to 10pm.","hours,time,opening,open"
This is our website: <a target='_blank' href='https://www.sunwaypyramid.com'>www.sunwaypyramid.com</a>,"link,offcial website"
You can refer to our shop directory at: <a target='_blank' href=https://www.sunwaypyramid.com/directory>www.sunwaypyramid.com/directory</a>,directory
Phone: 03-7494 3100 or 03-74943102,phone
"The Sunway Pyramid shopping mall is located at: 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia.","address,location"
You can check our current and upcoming events at: <a target='_blank' href='https://www.sunwaypyramid.com/events'>www.sunwaypyramid.com/events</a>,"event,events"
You can check our current promotions at: <a target='_blank' href='https://www.sunwaypyramid.com/promotions'>www.sunwaypyramid.com/promotions</a>,"promotion,promotions"
"Sunway Pyramid is Malaysia's first themed shopping and entertainment mall. First opened its doors in 1997, it has undergone a magnificent transformation to herald a new shopping kingdom that boasts 4.3 million square feet of retail extravaganza.",about
